model,INVENTORY_ID,PLOT_ID,AGE,MUNICIPALITY,SPECIE_IFN_ID,BASAL_AREA,DENSITY,MEAN_DBH,MEAN_H,QM_DBH,DOMINANT_H,ALTITUDE,SLOPE,ASPECT
Psyl_cat_nat_,IFN2,25_1150_IFN2,15,51,21,7.25639027777778,548.200359538751,11.3567741935484,4.76451612903226,12.9821229438421,8.86206896551724,1200,4,0.753982236861552
Psyl_cat_nat_,IFN2,25_647_IFN2,22,201,21,10.899275,477.464829275686,16.94,7.16666666666667,17.0483821324293,7.625,1600,4.5,3.48716784548468
Psyl_cat_nat_,IFN2,25_986_IFN2,20,140,21,29.0508131944444,841.752810130469,19.2443277310924,12.8151260504202,20.9624441591636,15.6875,1200,4.5,6.23606141737575
Psyl_cat_nat_,IFN3,25_1277_A_4_IFN3,25,234,21,7.79863125,891.267681314614,10.2910714285714,3.94642857142857,10.5550470324458,6.125,1000,10,0.94247779607694
Psyl_cat_nat_,IFN3,25_1456_A_4_IFN3,30,61,21,33.0539938611111,1373.82546876924,16.0856914838843,10.9356194006796,17.502546845287,15.3,1000,12.8,6.12610567450011
Psyl_cat_nat_,IFN3,25_1825_A_1_IFN3,45,2,21,25.150475,1315.680862893,15.264247311828,7.22849462365591,15.6010157857874,7.28333333333333,1000,11,3.33008821280519
Psyl_cat_nat_,IFN3,25_647_A_1_IFN3,33,201,21,29.0738631944444,576.494571643976,25.1457055214724,11.0736196319018,25.3401288848703,11.375,1000,12.5,3.26725635973339
Psyl_cat_nat_,IFN3,25_975_A_1_IFN3,40,140,21,33.9983715277778,1135.30526072219,18.3746105919003,9.71339563862928,19.5266522469951,11.5,1000,4.8,0.392699081698725
Psyl_cat_nat_,IFN3,25_977_A_1_IFN3,30,140,21,12.8711465277778,473.928052762533,18.3466417910448,8.2089552238806,18.5954832222413,8.8,1000,4.2,4.39822971502572
Psyl_cat_nat_,IFN3,25_982_A_1_IFN3,35,140,21,34.3095923611111,1503.13001809012,16.2537647058824,12.5934117647059,17.0476517271959,13.2,1000,5.2,4.7123889803847
Psyl_cat_plnt,IFN2,17_526_IFN2,14,39,21,3.911,445.633840657307,10.4214285714286,5.17857142857143,10.5708494049843,5.08333333333333,1100,4.5,2.90597320457057
Psyl_cat_plnt,IFN2,25_1160_IFN2,17,234,21,6.698125,636.619772367581,11.45,5.475,11.5742170361541,5.875,900,5,0.31415926535898
Psyl_cat_plnt,IFN2,25_1177_IFN2,15,234,21,4.94155625,668.45076098596,9.50714285714286,4.64285714285714,9.70179782063,5.1,900,4.5,5.24645973149497
Psyl_cat_plnt,IFN2,25_1190_IFN2,25,202,21,37.6220361111111,1542.03455973481,17.0821100917431,9.73509174311926,17.6250011386557,10.75,1400,4.5,0.125663706143592
Psyl_cat_plnt,IFN2,25_1277_IFN2,15,234,21,4.40875625,668.45076098596,9.08333333333333,4.83333333333333,9.16385887734035,4.7,1200,5,4.7752208334565
Psyl_cat_plnt,IFN2,25_1610_IFN2,35,5,21,19.3783076388889,820.532151051549,16.8265086206897,8.49784482758621,17.3406423512848,10.3382352941176,1100,5,4.28827397215008
Psyl_cat_plnt,IFN2,25_1655_IFN2,43,241,21,35.4877701388889,1071.64328348543,19.4447194719472,10.6534653465347,20.5337983076024,12.375,1400,3,1.41371669411541
Psyl_cat_plnt,IFN2,25_965_IFN2,15,140,21,10.76725625,1114.08460164327,10.9785714285714,5.15714285714286,11.0929868449781,5.21428571428571,1100,4,5.62345084992574
Psyl_cat_plnt,IFN2,25_975_IFN2,29,140,21,18.4780090277778,993.834200196058,14.8574733096085,7.90213523131673,15.3859982217969,8.44827586206896,1400,3.5,3.50287580875263
Psyl_cat_plnt,IFN2,25_976_IFN2,27,140,21,28.10956875,2228.16920328653,12.3764285714286,6.96714285714286,12.6738355339991,7.75,1300,3,4.19402619254238
Psyl_cat_plnt,IFN2,25_977_IFN2,22,140,21,4.25241875,286.478897565412,13.6055555555556,5,13.7475957493988,5.375,1100,4,4.25685804561418
Psyl_cat_plnt,IFN2,25_982_IFN2,25,140,21,36.6757375,2528.79520690456,13.1727272727273,8.85874125874126,13.5890049651936,9.51612903225806,1400,4.5,4.66526509058085
Psyl_cat_plnt,IFN2,8_1264_IFN2,10,138,21,11.92176875,1177.74657888003,11.1391891891892,4.94594594594595,11.3527083326617,6,900,4,5.96902604182062
Psyl_cat_plnt,IFN2,8_2029_IFN2,16,138,21,4.78825,763.943726841098,8.9,3.91666666666667,8.93331778605612,4,900,5,5.26216769476292
Psyl_cat_plnt,IFN3,25_965_A_1_IFN3,20,140,21,19.3917708333333,703.818526117493,18.3683417085427,7.90954773869347,18.7298132538104,8.60810810810811,1000,5.2,5.65486677646164
Psyl_cat_plnt,IFN3,25_976_A_1_IFN3,38,140,21,39.3454729166667,2079.6245897341,14.8912414965986,10.3998299319728,15.520652386746,11.7166666666667,1000,3.8,4.24115008234623
Psyl_cat_plnt,IFN3,8_2029_A_4_IFN3,25,138,21,6.28485,413.802852038928,13.8230769230769,7.20769230769231,13.9061137633776,7.3,1000,11.5,5.34070751110266
Pnig_cat__all,IFN2,17_2662_IFN2,33,101,25,18.6620472222222,1011.51808276182,14.55,7.91258741258741,15.3266724409406,9.25,0,5,2.35619449019235
Pnig_cat__all,IFN2,25_1263_IFN2,26,161,25,24.6573618055556,1563.25521881373,13.0512443438914,5.45497737556561,14.1714216356889,8.51351351351351,1200,4.5,1.80641577581414
Pnig_cat__all,IFN2,25_1279_IFN2,27,234,25,20.0670875,1145.91559026165,14.5305555555556,7.91666666666667,14.932100953613,9.375,1100,4.5,1.00530964914874
Pnig_cat__all,IFN2,25_2037_IFN2,47,77,25,55.4512409722222,1740.09404447139,19.3070121951219,12.5884146341463,20.1430084049435,14.0625,900,3,4.08407044966674
Pnig_cat__all,IFN2,25_2740_IFN2,6,42,25,3.24991875,127.323954473516,17.9125,7.25,18.0275310289568,7.25,500,4.5,6.2203534541078
Pnig_cat__all,IFN2,43_1498_IFN2,3,44,25,5.51643933333333,89.9755944946182,27.3251572327044,9.5314465408805,27.9397245431513,9.5314465408805,600,5,2.98451302091031
Pnig_cat__all,IFN2,43_96_IFN2,40,86,25,13.6963659722222,417.339628552081,19.4673728813559,8.11440677966102,20.4415076022011,9.45945945945946,800,2,2.35619449019235
Pnig_cat__all,IFN2,8_1811_IFN2,21,128,25,6.65171875,636.619772367581,11.3925,5.45,11.5340528436452,7.75,500,3.5,6.12610567450011
Pnig_cat__all,IFN3,25_1263_IFN3,50,161,25,25.6711027777778,1690.57917328724,12.5382845188285,5.57196652719665,13.9046340970334,8.64324324324324,1000,8,1.88495559215388
Pnig_cat__all,IFN3,25_1279_IFN3,37,234,25,29.1332131944444,1266.16599170886,16.6350558659218,10.5081005586592,17.1160651364205,12.4117647058824,1000,7.8,1.00530964914874
Pnig_cat__all,IFN3,25_1303_IFN3,35,190,25,20.15260625,1478.37258249805,12.7948564593301,7.31818181818182,13.1743355061539,8.53225806451613,1000,12.2,0.565486677646164
Pnig_cat__all,IFN3,43_81_IFN3,22,54,25,41.2114076388889,1778.99858611607,15.9315109343936,8.50298210735587,17.1741788880033,10.9,1000,8,1.09955742875643
Pnig_cat__all,IFN3,8_1475_IFN3,25,70,25,20.9082215277778,1025.66518881444,15.5143103448276,6.17448275862069,16.1105659803403,7.27931034482759,1000,7,3.45575191894878
Pnig_cat__all,IFN3,8_1811_IFN3,30,128,25,13.758525,923.098669932993,13.3206896551724,7.38965517241379,13.7758033747833,9.575,1000,5.5,6.12610567450011
